word,kelas,panjang,definisi,clue
SEBENTAR,benda,8,nanti,Dalam waktu singkat
KELUARGA,benda,8,(kaum --) sanak saudara; kaum kerabat,Ayah ibu dan anak
LANGSUNG,aksi,8,lewat dari tujuan,Tanpa melalui perantara
PERINTAH,benda,8,aba-aba; komando,Instruksi wajib dilaksanakan
PRESIDEN,benda,8,"kepala (lembaga, perusahaan, dan sebagainya)",Kepala negara tertinggi
MATAHARI,benda,8,"(huruf pertama biasa ditulis kapital) bintang yang merupakan pusat tata surya, memancarkan",Sumber cahaya siang hari
PAHLAWAN,benda,8,orang yang menonjol karena keberanian dan pengorbanannya dalam membela kebenaran; pejuang,Sosok berani nan berkorban
DETEKTIF,benda,8,polisi rahasia; reserse,Penyelidik perkara rahasia
PRAJURIT,benda,8,"anggota angkatan darat, udara, laut serta anggota kepolisian (tidak memandang pangkat)",Anggota pasukan tentara
PANGERAN,benda,8,gelar anak raja atau gelar orang besar dalam kerajaan (keluarga raja),Putra dari seorang raja
BINATANG,benda,8,makhluk bernyawa yang mampu bergerak (berpindah tempat) dan mampu bereaksi terhadap rangsa,Makhluk hidup selain manusia
KOMPUTER,benda,8,alat elektronik otomatis yang dapat menghitung atau mengolah data secara cermat menurut in,Perangkat pengolah data elektronik
KELOMPOK,benda,8,"gugusan (tentang bintang, pulau, dan sebagainya)",Himpunan beberapa anggota
JENDERAL,benda,8,orang yang paling berpengaruh (menentukan dan sebagainya) dalam organisasi,Pangkat tertinggi tentara
DIREKTUR,benda,8,kepala sekolah menengah,Pemimpin sebuah perusahaan
MALAIKAT,benda,8,"makhluk Allah yang taat, selalu zikir kpd-Nya, diciptakan dari cahaya, mempunyai tugas khu",Makhluk gaib dari cahaya
SEMANGAT,benda,8,perasaan hati,Gairah dalam berjuang
KOMANDAN,benda,8,kepala pasukan polisi,Pemimpin satuan tempur
PROFESOR,benda,8,pangkat dosen tertinggi di perguruan tinggi; guru besar; mahaguru,Gelar tertinggi dosen
SERIGALA,benda,8,anjing ajak,Hewan liar suka melolong
RESTORAN,benda,8,rumah makan,Tempat menyantap hidangan
TANGGUNG,aksi,8,menanggung,Memikul suatu risiko
JEMBATAN,benda,8,perantara; penghubung,Penyeberang sungai
KRIMINAL,benda,8,penjahat,Pelaku tindak jahat
INTERNET,benda,8,jaringan komunikasi elektronik yang menghubungkan jaringan komputer dan fasilitas komputer,Jaringan dunia maya
SEMBUNYI,aksi,8,bersembunyi,Menghilang dari pandangan
TETANGGA,benda,8,orang yang tempat tinggalnya (rumahnya) berdekatan,Penghuni rumah sebelah
PANGGUNG,benda,8,tempat pertunjukan berlangsung,Tempat pertunjukan tampil
OLAHRAGA,benda,8,"aktivitas (gerak badan, kegiatan) yang memerlukan ketangkasan, kemahiran, atau tenaga (sep",Aktivitas fisik menyehatkan
GENERASI,benda,8,masa orang-orang satu angkatan hidup,Angkatan sezaman hidup
ASURANSI,benda,8,uang iuran untuk asuransi,Perlindungan finansial risiko
KARAKTER,benda,8,simbol berupa angka atau huruf yang merepresentasikan suatu informasi,Watak tokoh cerita
WARTAWAN,benda,8,"orang yang pekerjaannya mencari dan menyusun berita untuk dimuat dalam surat kabar, majala",Pencari berita lapangan
KARYAWAN,benda,8,"orang yang bekerja pada suatu lembaga (kantor, perusahaan, dan sebagainya) dengan mendapat",Pekerja kantor bergaji
GUBERNUR,benda,8,pemimpin lembaga pendidikan militer,Kepala pemerintah provinsi
REKENING,benda,8,"hitungan pembayaran (uang berlangganan, uang sewa, dan sebagainya)",Nomor tabungan bank
PENGARUH,benda,8,"daya yang ada atau timbul dari sesuatu (orang, benda) yang ikut membentuk watak, kepercaya",Daya ubah perilaku
INDUSTRI,benda,8,"kegiatan memproses atau mengolah barang dengan menggunakan sarana dan peralatan, misalnya",Kegiatan produksi massal
SEBERANG,benda,8,tempat yang berhadapan dengan tempat kita,Sisi lain jalan
SERANGGA,benda,8,"binatang filum artropoda, berkaki enam, kakinya beruas-ruas, tubuhnya terdiri atas tiga ba",Hewan berkaki enam kecil
PERILAKU,benda,8,tanggapan atau reaksi individu terhadap rangsangan atau lingkungan,Respons terhadap lingkungan
REPORTER,benda,8,"orang yang pekerjaannya melaporkan (berita, peristiwa, dan sebagainya); penyusun laporan;",Pewarta berita lapangan
PAYUDARA,benda,8,buah dada; susu; tetek,Bagian tubuh menyusui
KACAMATA,benda,8,"sepasang kaca yang berangka, berfungsi sebagai pelindung lensa mata",Lensa bantu penglihatan
PUNGGUNG,benda,8,sesuatu yang menyerupai punggung,Bagian belakang tubuh
PROPERTI,benda,8,harta berupa tanah dan bangunan serta sarana dan prasarana yang merupakan bagian yang tida,Harta tanah bangunan
PROTOKOL,benda,8,rangkaian prosedur atau tindakan terperinci,Aturan resmi berurutan
PROSEDUR,benda,8,tahap kegiatan untuk menyelesaikan suatu aktivitas,Tahapan baku dilakukan
STRATEGI,benda,8,tempat yang baik menurut siasat perang,Rencana memenangkan perang
