word,kelas,panjang,definisi,clue
ORANG,benda,5,suku bangsa,
PERGI,aksi,5,berangkat,
KASIH,aksi,5,beri,
LIHAT,aksi,5,melihat,
MALAM,benda,5,lilin (dipakai untuk membatik),
HIDUP,aksi,5,bertempat tinggal (diam),
RUMAH,benda,5,bangunan untuk tempat tinggal,
MASUK,aksi,5,diterima; didapat,
PIKIR,benda,5,akal budi; ingatan; angan-angan,
TUHAN,benda,5,sesuatu yang dianggap sebagai Tuhan,
MAKAN,benda,5,rezeki,
JALAN,aksi,5,berjalan,
DUNIA,benda,5,alam kehidupan,
BUTUH,aksi,5,perlu,
TEMAN,benda,5,kawan; sahabat,
GADIS,benda,5,anak perempuan yang belum kawin; perawan,
TIDUR,aksi,5,berbaring; terbaring (tidak berdiri),
MOBIL,benda,5,"kendaraan darat yang digerakkan oleh tenaga mesin, beroda empat atau lebih (selalu genap),",
AMBIL,aksi,5,"pegang lalu bawa, angkat, dan sebagainya",
MENIT,benda,5,ukuran 1/60 bagian dari satu derajat (simbol),
DUDUK,aksi,5,tinggal; diam,
BESOK,benda,5,waktu yang akan datang; kelak,
MINUM,aksi,5,mengisap,
PINTU,benda,5,palang (pada) jalan,
JATUH,aksi,5,"menjadi (sakit, miskin, cinta, dan sebagainya)",
KAWAN,benda,5,"orang yang sudah lama dikenal dan sering berhubungan dalam hal tertentu (dalam bermain, be",
KERAS,benda,5,bakul tempat garam,
KERJA,aksi,5,bekerja,
BUNUH,aksi,5,habisi nyawa secara sengaja,
INDAH,aksi,5,peduli (akan); menaruh perhatian (akan),
KABAR,benda,5,laporan tentang peristiwa yang biasanya belum lama terjadi; berita; warta,
DARAH,benda,5,keturunan,
KAMAR,benda,5,bulan,
DASAR,benda,5,lantai,
RUANG,benda,5,"petak dalam buah (durian, petai); pangsa",
MARAH,benda,5,gelar anak sutan yang menikah dengan perempuan biasa atau putri (bangsawan) dengan laki-la,
KAPAL,benda,5,"kulit yang menebal dan mengeras; belulang (pada kaki, telapak tangan, dan lain-lain)",
SUARA,benda,5,pendapat,
PAHAM,benda,5,pengertian,
TURUN,aksi,5,menurun,
TANAH,benda,5,daratan,
PESTA,benda,5,perjamuan makan minum (bersukaria dan sebagainya); perayaan,
NOMOR,benda,5,jenis lomba,
BANTU,aksi,5,tolong,
PANAS,benda,5,kemarau (tentang musim),
PESAN,benda,5,pesanan,
PUTRI,benda,5,anak perempuan raja,
OMONG,benda,5,bahasa; perkataan,
KENAL,aksi,5,tahu; mempunyai rasa,
JANJI,benda,5,batas waktu (hidup); ajal,
SURAT,benda,5,sesuatu yang ditulis; yang tertulis; tulisan,
KELAS,benda,5,tingkat,
ULANG,aksi,5,lakukan lagi,
JUMPA,aksi,5,bertemu dengan (seseorang),
TUTUP,aksi,5,menutup,
TANDA,benda,5,bukti,
MESIN,benda,5,"perkakas untuk menggerakkan atau membuat sesuatu yang dijalankan dengan roda, digerakkan o",
BUKTI,benda,5,hal yang menjadi tanda perbuatan jahat,
MIMPI,benda,5,angan-angan,
PAKAI,aksi,5,mengenakan; ber-...,
BENDA,benda,5,barang,
HITAM,benda,5,warna dasar yang serupa dengan warna arang,
MUSIM,benda,5,masa; waktu (ketika ada suatu peristiwa),
TUBUH,benda,5,diri (sendiri),
