word,kelas,panjang,definisi,clue
PEREMPUAN,benda,9,istri; bini,
INFORMASI,benda,9,penerangan,
ISTIRAHAT,aksi,9,berhenti (mengaso) sebentar dari suatu kegiatan (untuk melepaskan lelah); rehat,
BERANGKAT,aksi,9,"mulai berjalan (pergi, bepergian)",
TEKNOLOGI,benda,9,metode ilmiah untuk mencapai tujuan praktis; ilmu pengetahuan terapan,
APARTEMEN,benda,9,"tempat tinggal yang terdiri atas ruang duduk, kamar tidur, kamar mandi, dapur, dan sebagai",
TENGGELAM,aksi,9,asyik,
TELANJANG,aksi,9,tidak berpakaian,Tanpa alat bantu lihat
PENGANTIN,benda,9,kembang pengantin,Mempelai baru menikah
IDENTITAS,benda,9,jati diri,Kartu tanda pengenal
WAWANCARA,benda,9,tanya jawab peneliti dengan narasumber,Tanya jawab narasumber
GELOMBANG,benda,9,ombak besar yang bergulung-gulung (di laut),Ombak besar bergulung
PERANGKAT,benda,9,alat perlengkapan,Kumpulan alat lengkap
PERISTIWA,benda,9,pada suatu kejadian (kerap kali dipakai untuk memulai cerita),Kejadian penting berlalu
KOMPETISI,benda,9,persaingan,Ajang saling bersaing
MAHASISWA,benda,9,orang yang belajar di perguruan tinggi,Penuntut ilmu kampus
FASILITAS,benda,9,sarana untuk melancarkan pelaksanaan fungsi; kemudahan,Sarana penunjang kegiatan
INSPEKTUR,benda,9,nama pangkat dalam kepolisian,Pangkat penyidik polisi
INDONESIA,benda,9,"bangsa, budaya, bahasa bagi negara Indonesia",
PERANGKAP,benda,9,tipu muslihat untuk memperdaya orang,Jebakan buat mangsa
BANGSAWAN,benda,9,keturunan orang mulia (terutama raja dan kerabatnya); ningrat; orang berbangsa,Keturunan darah biru
GRAVITASI,benda,9,proses gaya tarik bumi,Gaya tarik bumi
INTELIJEN,benda,9,orang yang bertugas mencari (mengamat-amati) seseorang; dinas rahasia,Mata-mata dinas rahasia
KOMUNITAS,benda,9,kelompok organisme (orang dan sebagainya) yang hidup dan saling berinteraksi di dalam daer,Kelompok orang sehobi sama
TENGKORAK,benda,9,bagian yang keras dan bertulang dari kepala dan berfungsi melindungi otak; tulang kepala;,
KOMISARIS,benda,9,petugas partai politik pada tingkatan desa,
TRANSAKSI,benda,9,pelunasan (pemberesan) pembayaran (seperti dalam bank),
PRIORITAS,benda,9,yang didahulukan dan diutamakan daripada yang lain,
KILOMETER,benda,9,satuan ukuran panjang 1.000 m (disingkat km),
SUTRADARA,benda,9,"sosok guru, pimpinan, pengelola yang berperan terhadap keberhasilan pertunjukan",
FREKUENSI,benda,9,kekerapan,
INVESTASI,benda,9,penanaman uang atau modal dalam suatu perusahaan atau proyek untuk tujuan memperoleh keunt,
AUSTRALIA,benda,9,benua yang terletak di sebelah timur Asia Tenggara dan sebelah selatan daerah khatulistiwa,
PERINGKAT,benda,9,tingkat; pangkat,
SEPTEMBER,benda,9,bulan ke-9 tahun Masehi (30 hari),
PSIKIATER,benda,9,dokter yang ahli dalam penyakit jiwa,
AKTIVITAS,benda,9,keaktifan; kegiatan,
KELELAWAR,benda,9,"mamalia yang mampu terbang sempurna, memiliki membran atau selaput di antara jari sehingga",
SELINGKUH,aksi,9,menyeleweng,
INSPIRASI,benda,9,ilham,
INSTRUKSI,benda,9,pelajaran; petunjuk,
KEPONAKAN,benda,9,anak saudara; kemenakan,
KOMBINASI,benda,9,"gabungan beberapa hal (pengertian, perkara, warna, pasukan, dan sebagainya)",
TRANSMISI,benda,9,"penularan, penyebaran, penjangkitan penyakit",
LAKSAMANA,benda,9,"pangkat perwira tinggi peringkat kedua dalam angkatan laut, setaraf dengan jenderal TNI da",
NEGOSIASI,benda,9,penyelesaian sengketa secara damai melalui perundingan antara pihak yang bersengketa,
IMAJINASI,benda,9,khayalan,
KERANJANG,benda,9,bakul besar yang anyamannya kasar-kasar,
GENERATOR,benda,9,"pembangkit tenaga (listrik, uap, dan sebagainya)",
EKSEKUTIF,benda,9,kekuasaan menjalankan undang-undang,
NONGKRONG,aksi,9,menongkrong,
SPESIALIS,benda,9,ahli suatu cabang ilmu atau keterampilan,Pakar bidang tertentu
PERIMETER,benda,9,batas luas lingkaran; batas luar dari tempat tertutup atau tempat terlindungi (bandar udar,Total garis keliling
MANAJEMEN,benda,9,penggunaan sumber daya secara efektif untuk mencapai sasaran,Atur sumber daya
OLIMPIADE,benda,9,"festival yang mempertandingkan sains, seni, matematika dan sebagainya",Kompetisi tingkat dunia
PSIKOLOGI,benda,9,"ilmu yang berkaitan dengan proses mental, baik normal maupun abnormal dan pengaruhnya pada",Ilmu jiwa manusia
VENTILASI,benda,9,(lubang) tempat udara dapat keluar masuk secara bebas,Jalan keluar udara
KONSULTAN,benda,9,"ahli dalam memberi petunjuk, pertimbangan, atau nasihat dalam suatu kegiatan (penelitian,",Pemberi nasihat ahli
DEMOKRASI,benda,9,gagasan atau pandangan hidup yang mengutamakan persamaan hak dan kewajiban serta perlakuan,Suara rakyat berkuasa
REFERENSI,benda,9,"sumber acuan (rujukan, petunjuk)",Sumber rujukan bacaan
KARANTINA,benda,9,"tempat untuk menahan ternak impor yang baru datang dari luar negeri, guna mencegah penyeba",Isolasi cegah penyakit menular
BIARAWATI,benda,9,perempuan yang hidup di dalam biara,Perempuan pelayan Tuhan
TERORISME,benda,9,penggunaan kekerasan untuk menimbulkan ketakutan dalam usaha mencapai tujuan (terutama tuj,Kekerasan demi tujuan politik
BARTENDER,benda,9,pramutama bar,Peracik minuman di bar
DESKRIPSI,benda,9,pemaparan atau penggambaran dengan kata-kata secara jelas dan terperinci; uraian,Penjelasan rinci suatu hal
KAPASITAS,benda,9,ruang yang tersedia; daya tampung,Daya tampung maksimal
INSTRUMEN,benda,9,"dokumen resmi seperti akta, surat obligasi",Alat penghasil bunyi musik
NARKOTIKA,benda,9,"obat untuk menenangkan saraf, menghilangkan rasa sakit, menimbulkan rasa mengantuk, atau m",Zat berbahaya bikin ketagihan
HAMBURGER,benda,9,"penganan yang terbuat dari daging cacah, biasanya daging sapi, dibentuk bulat, kemudian di",Roti isi daging panggang
EKSPEDISI,benda,9,perusahaan pengangkutan barang,Jasa pengiriman barang
SANDIWARA,benda,9,"perkumpulan drama (teater, tonil)",Lakon penuh kepura-puraan
AMSTERDAM,benda,9,ibu kota Belanda,
PARAMEDIS,benda,9,tenaga terlatih yang memberikan perawatan darurat kepada orang yang sakit atau terluka seb,Petugas medis darurat
ORGANISME,benda,9,"segala jenis makhluk hidup (tumbuhan, hewan, dan sebagainya); susunan yang bersistem dari",Makhluk hidup bersistem
ASTRONOMI,benda,9,"ilmu tentang matahari, bulan, bintang, dan planet-planet lain; ilmu falak",Ilmu tentang bintang
STATISTIK,benda,9,catatan angka-angka (bilangan); perangkaan,
FRUSTRASI,benda,9,rasa kecewa akibat kegagalan di dalam mengerjakan sesuatu atau akibat tidak berhasil dalam,
RUTINITAS,benda,9,kerutinan,
ADRENALIN,benda,9,hormon yang dihasilkan dari ekstrak kelenjar suprarenal atau kelenjar adrenal; epinefrina,
LOYALITAS,benda,9,kepatuhan; kesetiaan,
SUPERSTAR,benda,9,(orang) yang unggul (cemerlang dan sebagainya) dalam tugasnya (profesinya dan sebagainya);,
MEKANISME,benda,9,penggunaan mesin; alat-alat dari mesin; hal kerja mesin,
GLADIATOR,benda,9,"orang yang mendapat upah, biasanya tawanan atau budak-budak, dengan berkelahi di depan pen",
POTENSIAL,benda,9,"tegangan listrik, lambang V; arus listrik",
PRAMUGARI,benda,9,"karyawati perusahaan pengangkutan umum (udara, darat, dan laut) yang bertugas melayani pen",
ALGORITMA,benda,9,urutan logis pengambilan keputusan untuk pemecahan masalah,
KONDUKTOR,benda,9,"benda atau bahan penghantar panas, arus listrik, atau suara",
KONTAINER,benda,9,kotak kargo,
OVERDOSIS,benda,9,ukuran (obat dan sebagainya) yang berlebihan,
INSTITUSI,benda,9,lembaga; pranata,
YERUSALEM,benda,9,ibu kota Palestina,
ARGENTINA,benda,9,"negara yang terletak di Amerika Selatan, beribu kota Buenos Aires",
SINGAPURA,benda,9,ibu kota negara Singapura,
PROTOTIPE,benda,9,model yang mula-mula (model asli) yang menjadi contoh; contoh baku; contoh khas,
MAHASISWI,benda,9,mahasiswa wanita,
SPEKULASI,benda,9,(perihal) membeli atau menjual sesuatu yang mungkin mendatangkan untung besar,
INISIATIF,benda,9,prakarsa,
WISATAWAN,benda,9,orang yang berwisata; pelancong; turis,
CAKRAWALA,benda,9,lengkung langit,
FOTOGRAFI,benda,9,seni dan penghasilan gambar dan cahaya pada film atau permukaan yang dipekakan,
POLITIKUS,benda,9,ahli politik; ahli kenegaraan,
MAYORITAS,benda,9,jumlah orang terbanyak yang memperlihatkan ciri tertentu menurut suatu patokan dibandingka,
MERCUSUAR,benda,9,sesuatu yang dipakai untuk memperoleh nama dan untuk bergagah-gagah,
KONTESTAN,benda,9,"peserta kontes (perlombaan, pemilihan, dan sebagainya)",
RESERVASI,benda,9,"pengaturan atau pemesanan tiket, meja, kamar hotel, dan sebagainya untuk seseorang pada wa",
HIPOTESIS,benda,9,"sesuatu yang dianggap benar untuk alasan atau pengutaraan pendapat (teori, proposisi, dan",
TOLERANSI,benda,9,sifat atau sikap toleran,
EKSTRAKSI,benda,9,pencurian,
OBSERVASI,benda,9,peninjauan secara cermat,
SELEBARAN,benda,9,"terbitan tidak berjilid (tidak berkulit) yang disebarkan kepada umum, biasanya untuk mempr",
DEHIDRASI,benda,9,kehilangan cairan tubuh,
UNIVERSAL,benda,9,kategori keilmubahasaan yang berlaku untuk semua bahasa,
KABUPATEN,benda,9,kantor tempat kerja bupati,
KONSELING,benda,9,pemberian bimbingan oleh yang ahli kepada seseorang dengan menggunakan metode psikologis d,
KOMPOSISI,benda,9,susunan,
MILIARDER,benda,9,orang kaya raya yang hartanya bermiliar-miliar,
