word,kelas,panjang,definisi,clue
PROFESIONAL,benda,11,orang yang terlibat atau memenuhi kualifikasi dalam suatu profesi,Ahli di bidangnya
UNIVERSITAS,benda,11,perguruan tinggi yang terdiri atas sejumlah fakultas yang menyelenggarakan pendidikan ilmi,Kampus banyak fakultas
INVESTIGASI,benda,11,"penyelidikan dengan mencatat, merekam fakta atau melakukan peninjauan, percobaan, dan seba",Penyelidikan cari fakta
KONSENTRASI,benda,11,pemusatan perhatian atau pikiran pada suatu hal,
KONSEKUENSI,benda,11,persesuaian dengan yang dahulu,
SUKARELAWAN,benda,11,orang yang melakukan sesuatu dengan sukarela (tidak karena diwajibkan atau dipaksakan),Pekerja tanpa bayaran
REKOMENDASI,benda,11,"saran yang menganjurkan (membenarkan, menguatkan)",Saran yang mendukung
DEMONSTRASI,benda,11,pernyataan protes yang dikemukakan secara massal; unjuk rasa,Aksi protes ramai-ramai
INTELEKTUAL,benda,11,orang yang mempunyai kecerdasan tinggi; cendekiawan,
KUALIFIKASI,benda,11,tingkatan,
RESEPSIONIS,benda,11,"orang yang bertugas sebagai penerima tamu (di suatu perusahaan, hotel, atau kantor)",
AKSELERATOR,benda,11,otot atau saraf yang mempercepat gerakan,
SPESIFIKASI,benda,11,"perincian (tentang rencana, proposal, dan sebagainya)",
POPULARITAS,benda,11,perihal populer; kepopuleran,
KONGLOMERAT,benda,11,massa atau campuran yang terjadi dari bermacam-macam unsur,
REINKARNASI,benda,11,penjelmaan (penitisan) kembali ke dalam tubuh lain setelah mati; kelahiran kembali,
TELEPORTASI,benda,11,"proses, cara, perbuatan memindahkan orang atau barang dengan psikokinesis",
KONDOMINIUM,benda,11,kepunyaan bersama,
IMPROVISASI,benda,11,pembuatan (penyediaan) sesuatu berdasarkan bahan yang ada (seadanya),
KOMPARTEMEN,benda,11,bagian yang terpisah,
KONTAMINASI,benda,11,efek distorsi dari fakta eksternal yang tidak terkontrol,
DOKUMENTASI,benda,11,"pengumpulan, pemilihan, pengolahan, dan penyimpanan informasi dalam bidang pengetahuan",
KARBOHIDRAT,benda,11,"senyawa organik karbon, hidrogen, dan oksigen, terdiri atas satu atau lebih molekul gula s",
TRANSPONDER,benda,11,alat dengan kendali pilot otomatis untuk mengendalikan daya mesin dan memandu pesawat udar,
KONFRONTASI,benda,11,permusuhan; pertentangan,
SKIZOFRENIA,benda,11,"penyakit jiwa yang ditandai oleh ketidakacuhan, halusinasi, waham untuk menghukum, dan mer",
KONTROVERSI,benda,11,perdebatan,
KONFEDERASI,benda,11,"gabungan beberapa organisasi, misalnya organisasi buruh",
