word,kelas,panjang,definisi,clue
MAAF,benda,4,ungkapan permintaan ampun atau penyesalan,Orang salah
MATI,aksi,4,tidak bernyawa; tidak pernah hidup,Tidur dalam tanah
ANAK,benda,4,manusia yang masih kecil,Manusia kecil
AYAH,benda,4,orang tua kandung laki-laki; bapak,Pemberi bibit
SUKA,aksi,4,senang; gemar,Rasa senang terhadap sesuatu
PRIA,benda,4,laki-laki dewasa,Lelaki yang sudah dewasa
KALI,benda,4,sungai,Aliran air tawar
UANG,benda,4,harta; kekayaan,Kepercayaan dunia
GILA,aksi,4,"terlanda perasaan sangat suka (gemar, asyik, cinta, kasih sayang)",Penghuni rumah jiwa
TUAN,benda,4,orang laki-laki (yang patut dihormati),Panggilan hormat untuk majikan
HALO,benda,4,"lingkaran atau berkas sinar di sekeliling suatu benda angkasa yang berkilauan (matahari, b",Lingkaran cahaya benda langit
NAMA,benda,4,gelar; sebutan,Identitas manusia
SIAL,benda,4,"lapisan batuan atas kerak bumi yang kaya akan silika dan alumina, dapat menghasilkan magma",Nasib buruk menimpa
KOTA,benda,4,dinding (tembok) yang mengelilingi tempat pertahanan,Pusat keramaian daerah
PAGI,benda,4,awal; cepat,Waktu matahari baru terbit
BAWA,aksi,4,angkat ke tempat lain,Menjinjing ke tempat lain
COBA,aksi,4,silakan; sudilah; tolong (untuk menghaluskan suruhan atau ajakan),Usaha menguji sesuatu
DIAM,aksi,4,tidak bersuara (berbicara),Tak berkata
HATI,benda,4,jantung,Pusat perasaan manusia
CARI,aksi,4,temukan sesuatu,Hilang
MATA,benda,4,satuan ukuran berat untuk candu,Indra untuk melihat
LARI,aksi,4,bergeser,Gerak cepat kaki
RAJA,benda,4,buah catur yang terpenting,Penguasa bermahkota istana
BUKU,benda,4,tampang (lempeng),Gudang ilmu
LUPA,aksi,4,tidak teringat,Hilang dari ingatan
KAKI,benda,4,kesemek,Penopang manusia
BUKA,aksi,4,membuka; terbuka,Lawan kata tutup
AGEN,benda,4,bahan,Perantara penjualan barang
NONA,benda,4,sebutan bagi anak perempuan atau wanita yang belum menikah,Sebutan gadis muda lajang
GURU,benda,4,"orang yang pekerjaannya (mata pencahariannya, profesinya) mengajar",Pemberi ilmu
FILM,benda,4,lakon (cerita) gambar hidup,Tontonan gambar bergerak
BUMI,benda,4,permukaan dunia; tanah,Planet tempat manusia hidup
BAYI,benda,4,anak yang belum lama lahir; jabang bayi; orok,Manusia yang baru lahir
LAUT,benda,4,"suku bangsa yang mendiami beberapa pulau di Kepulauan Riau, Sumatra",Luas dan tak bisa di injak
AWAK,benda,4,tubuh; badan,Anggota kru pesawat
LAGU,benda,4,nyanyian,Karya musik bernada
OBAT,benda,4,guna-guna,Penyembuh suatu penyakit
SISI,benda,4,rusuk,Bagian samping sesuatu
JUTA,benda,4,satuan bilangan kelipatan sejuta yang dilambangkan dengan enam nol (000.000) di belakang a,Bilangan dengan enam nol
ARAH,benda,4,jurusan,Petunjuk mata angin
BATU,benda,4,"tonggak (pal, mil)",Benda keras
BOLA,benda,4,barang yang bentuknya menyerupai bulatan,Benda bulat untuk bermain
FOTO,benda,4,potret,Wajah kertas
AKAL,benda,4,tipu daya; muslihat; kecerdikan; kelicikan,Sumber kesadaran
TOKO,benda,4,kedai berupa bangunan permanen tempat menjual barang-barang (makanan kecil dan sebagainya),Ada segalanya
JAGA,aksi,4,bangun; tidak tidur,Mengawasi supaya aman
DEWA,benda,4,gelar kasta (golongan) Brahmana,Makhluk sakti kayangan
MISI,benda,4,kegiatan menyampaikan Kabar Baik (Injil) dilakukan atas dasar pengutusan sebagai kelanjuta,Tugas yang diemban
KIRI,benda,4,"arah, pihak, atau sisi bagian badan kita yang berisi jantung",Lawan arah kanan
KUDA,benda,4,"mamalia berkuku ganjil dan oval, kepalanya memanjang, tengkuknya bersurai, ekornya panjang",Bersepatu dan berkaki 4
ALAM,benda,4,dunia,Dunia beserta isinya
AHLI,benda,4,anggota,Mahir
MAIN,aksi,4,berjudi,Kegiatan menghibur diri
KOPI,benda,4,serbuk kopi,Air hitam
RATU,benda,4,raja perempuan; permaisuri,Penguasa perempuan kerajaan
ALAT,benda,4,perjamuan,Perkakas untuk bekerja
EMAS,benda,4,uang suap,Berharga
MEJA,benda,4,perkakas (perabot) rumah yang mempunyai bidang datar sebagai daun mejanya dan berkaki seba,Perabot datar berkaki
IKAN,benda,4,lauk,Hewan air bersisik
BANK,benda,4,"badan usaha di bidang keuangan yang menarik dan mengeluarkan uang dalam masyarakat, teruta",Tempat kepercayaan dunia
JIWA,benda,4,buah hati; kekasih,Roh dalam tubuh
OTAK,benda,4,biang keladi; tokoh; gembong,Organ pusat pikiran
MAJU,aksi,4,lulus (dalam ujian),Bergerak ke depan
LUKA,aksi,4,menderita luka,Kulit robek berdarah
BAJU,benda,4,pakaian penutup badan bagian atas (banyak ragam dan namanya),Busana penutup tubuh atas
TAMU,benda,4,"orang yang datang untuk menginap (di hotel), untuk membeli-beli (di toko); jamu",Orang yang berkunjung
MAMA,benda,4,kelenjar susu,Panggilan untuk ibu
SEKS,benda,4,berahi,Aktivitas yang disukai banyak orang
SITU,benda,4,danau; telaga,Danau kecil tenang
TRUK,benda,4,mobil besar dengan bak besar di belakang (biasanya untuk mengangkut barang); prahoto,Kendaraan besar pengangkut barang
KODE,benda,4,kumpulan prinsip yang bersistem,Rahasia
DESA,benda,4,tanah; tempat; daerah,Permukiman jauh dari kota
ALIH,aksi,4,pindah; ganti; tukar; ubah,Pindah atau berganti tempat
ASLI,benda,4,(tempat) asal,Bukan tiruan atau palsu
BIBI,benda,4,panggilan kepada perempuan yang agak tua,Adik perempuan orang tua
BIRU,benda,4,mulut merah bekas makan pinang,Ciri-ciri laut
AWAS,aksi,4,hati-hati; ingat,Waspada terhadap bahaya
SISA,benda,4,"apa yang tertinggal (sesudah dimakan, diambil, dan sebagainya); kelebihan; lebihnya",Tidak habis
KLUB,benda,4,gedung tempat pertemuan anggota suatu perkumpulan,Perkumpulan orang seminat
BELI,benda,4,kakak laki-laki,Menukar uang dengan barang
ADIK,benda,4,kerabat yang lebih muda (dari pertalian kekeluargaan),Saudara kandung lebih muda
AYAM,benda,4,"unggas yang pada umumnya tidak dapat terbang, dapat dijinakkan dan dipelihara, berjengger,",Unggas berjengger dan berkokok
GIGI,benda,4,kekuasaan,Organ keras
JARI,benda,4,bagian suatu benda yang rupanya seperti jari,Hanya ada 20
KENA,benda,4,engkau; kamu,Tertimpa atau tersentuh sesuatu
BABI,benda,4,umpatan yang sangat kasar,Ternak gemuk suka berkubang
RIBU,benda,4,satuan bilangan kelipatan seribu yang dilambangkan dengan tiga nol (000) di belakang angka,Bilangan dengan tiga nol
NAGA,benda,4,perhitungan banyaknya usuk yang baik untuk pintu,Ular raksasa dalam mitos
BUAH,benda,4,hasil,Hasil manis dari pohon
JUNG,benda,4,satuan ukuran luas tanah sama dengan 28.386 m_ atau empat bau,Kapal layar kuno
SORE,benda,4,petang,Waktu menjelang malam
SENI,benda,4,orang yang berkesanggupan luar biasa; genius,Karya penuh keindahan
DATA,benda,4,keterangan yang benar dan nyata,Kumpulan fakta dan angka
BACA,aksi,4,"eja (huruf, tulisan, dan sebagainya)",Melafalkan rangkaian huruf
UNIT,benda,4,bagian terkecil dari sesuatu yang dapat berdiri sendiri; satuan,Satuan bagian tersendiri
PAPA,benda,4,ayah; bapak,Panggilan untuk ayah
KANG,benda,4,kekang,Tali kendali kuda
DAYA,benda,4,muslihat,Tenaga atau kekuatan
ROTI,benda,4,Rote,Makanan empuk dari terigu
USIA,benda,4,umur (lebih takzim),Lama waktu hidup
CINA,benda,4,penduduk asli negeri Cina,Negeri tirai bambu Asia
UMUR,benda,4,hidup; nyawa,Lama waktu hidup seseorang
GAYA,benda,4,sikap; gerakan,Cara berpenampilan yang khas
BUTA,benda,4,raksasa,Tidak dapat melihat
IZIN,aksi,4,meminta izin; memohon izin,Persetujuan boleh melakukan sesuatu
PETA,benda,4,gerak-gerik (tangan dan sebagainya) untuk isyarat dan sebagainya,Gambar permukaan wilayah bumi
ILMU,benda,4,sifat mengetahui yang wajib bagi Allah Swt.,Pengetahuan dari hasil belajar
DANA,benda,4,pemberian; hadiah; derma,Uang untuk suatu keperluan
BESI,benda,4,"logam yang keras dan kuat serta banyak sekali gunanya (sebagai bahan pembuat senjata, mesi",Logam keras bahan bangunan
AREA,benda,4,bagian permukaan bumi; daerah,Bagian permukaan suatu tempat
KAYU,benda,4,pohon yang batangnya keras,Bahan keras dari pohon
BAPA,benda,4,bapak,Orang tua laki-laki
STOP,aksi,4,berhenti; terhenti,Perintah untuk berhenti
SARA,aksi,4,bersara,Menanggung biaya hidup
ATAP,benda,4,penutup rumah (bangunan) sebelah atas; benda yang dipakai untuk menutup atas rumah,Penutup bagian atas rumah
SUSU,benda,4,air yang keluar dari buah dada,Minuman putih sapi
TALI,benda,4,hubungan,Pengikat simpul
ROMA,benda,4,roman; muka,Raut wajah seseorang
ULAR,benda,4,"reptilia, tidak berkaki, tubuhnya agak bulat memanjang, kulitnya bersisik, hidup di tanah",Melata tanpa kaki
KALO,benda,4,gurami; kalui,Sejenis ikan air tawar
SUKU,benda,4,kaki,Kelompok etnis serumpun
TOPI,benda,4,tudung kepala,Pelindung kepala matahari
SAPI,benda,4,"mamalia berkuku genap yang termasuk ke dalam kelompok ruminansia, bertubuh besar, bertandu",Penghasil susu ternak
