word,kelas,panjang,definisi,clue
TERIMA,aksi,6,menyambut; mendapat (memperoleh) sesuatu,Mendapat pemberian orang
BILANG,aksi,6,hitung,Menghitung jumlah benda
TUNGGU,aksi,6,menunggu,Menanti dengan sabar
DENGAR,aksi,6,tangkap (suara),Menangkap bunyi telinga
BICARA,benda,6,perundingan,Bertutur mengeluarkan kata
TOLONG,aksi,6,bantu,Memberi bantuan sesama
WANITA,benda,6,perempuan dewasa,Kaum hawa dewasa
SAYANG,benda,6,kekasih; jantung hatiku,Rasa cinta kasih
POLISI,benda,6,anggota badan pemerintah (pegawai negara yang bertugas menjaga keamanan dan sebagainya),Penjaga keamanan masyarakat
PULANG,aksi,6,pergi ke rumah atau ke tempat asalnya; kembali (ke); balik (ke),Kembali ke rumah
TANGAN,benda,6,kekuasaan; pengaruh; perintah,Anggota tubuh berjari
PEDULI,aksi,6,mengindahkan; memperhatikan; menghiraukan,Menaruh perhatian penuh
KEMARI,aksi,6,ke sini,Menuju ke sini
KEPALA,benda,6,"otak (pikiran, akal, budi)",Bagian tubuh teratas
DOKTER,benda,6,lulusan pendidikan kedokteran yang ahli dalam hal penyakit dan pengobatan,Ahli mengobati penyakit
MINGGU,benda,6,jangka waktu yang lamanya tujuh hari; pekan,Tujuh hari lamanya
BANGUN,aksi,6,jaga (dari tidur),Terjaga dari tidur
HILANG,aksi,6,meninggal,Lenyap tidak berbekas
PERANG,benda,6,perkelahian; konflik,Konflik bersenjata antarnegara
CERITA,benda,6,omong kosong; dongengan (yang tidak benar); omongan,Kisah yang dituturkan
NEGARA,benda,6,organisasi dalam suatu wilayah yang mempunyai kekuasaan tertinggi yang sah dan ditaati ole,Wilayah dengan pemerintahan berdaulat
ANJING,benda,6,"anjing yang biasa dipelihara untuk menjaga rumah, berburu, dan sebagainya",Hewan setia penjaga rumah
KAPTEN,benda,6,"orang yang mengepalai atau memimpin (regu, kapal, dan lain-lain)",Pemimpin regu atau kapal
MENANG,aksi,6,lulus (dalam ujian),Unggul dalam pertandingan
BAHASA,benda,6,percakapan (perkataan) yang baik; tingkah laku yang baik; sopan santun,Alat komunikasi lisan
KANTOR,benda,6,tempat bekerja,Tempat orang bekerja
MUNCUL,aksi,6,timbul; terbit,Tampak ke permukaan
MUNDUR,aksi,6,berjalan (bergerak) ke belakang,Bergerak ke belakang
BARANG,benda,6,muatan selain manusia atau ternak,Benda yang dimiliki
BERITA,benda,6,laporan,Kabar warta terkini
BISNIS,benda,6,usaha komersial dalam dunia perdagangan; bidang usaha; usaha dagang,Usaha dagang komersial
TEMBAK,aksi,6,menembak,Melepaskan peluru senjata
HADIAH,benda,6,ganjaran (karena memenangi suatu perlombaan),Pemberian tanda penghargaan
PINDAH,aksi,6,beralih atau bertukar tempat,Beralih ke tempat lain
KORBAN,benda,6,"pemberian untuk menyatakan kebaktian, kesetiaan, dan sebagainya; kurban",Penderita akibat musibah
LANTAI,benda,6,geladak perahu,Alas dasar ruangan
SISTEM,benda,6,metode,Susunan cara teratur
NYONYA,benda,6,istri,Sebutan wanita bersuami
KERETA,benda,6,kereta api,Kendaraan berjalan di rel
MAKSUD,benda,6,niat; kehendak,Niat dalam hati
POSISI,benda,6,"letak: kedudukan (orang, barang)",Letak atau kedudukan
NERAKA,benda,6,sial; celaka,Tempat siksa akhirat
PLANET,benda,6,"benda langit (seperti Mars, Venus) yang tidak mengeluarkan panas ataupun cahaya dan berger",Benda langit mengelilingi matahari
KAMERA,benda,6,kotak kedap sinar yang dipasang dengan lensa yang menyambung pada lubang lensa tempat gamb,Alat pemotret gambar
BURUNG,benda,6,kemaluan laki-laki,Hewan bersayap bisa terbang
CAHAYA,benda,6,"kilau gemerlap (dari emas, berlian)",Pancaran sinar terang
GAMBAR,benda,6,"tiruan barang (orang, binatang, tumbuhan, dan sebagainya) yang dibuat dengan coretan pensi",Hasil coretan pensil
PISTOL,benda,6,senjata api genggam yang pendek dan kecil,Senjata api genggam kecil
BAHAYA,benda,6,"sesuatu yang (mungkin) mendatangkan kecelakaan (bencana, kesengsaraan, kerugian, dan sebag",Keadaan mengancam keselamatan
DAFTAR,benda,6,"catatan sejumlah nama atau hal (tentang kata-kata, nama orang, barang, dan sebagainya) yan",Catatan urutan nama
DAGING,benda,6,tubuh manusia (sebagai imbangan jiwa atau batin),Bagian lunak tubuh hewan
SAMPAH,benda,6,hina,Barang buangan tak berguna
DAERAH,benda,6,bagian permukaan tubuh,Wilayah bagian tertentu
ANGKAT,aksi,6,ambil; bawa,Menaikkan beban ke atas
TUMBUH,aksi,6,timbul; terbit; terjadi (sesuatu),Muncul lalu berkembang
DEWASA,benda,6,waktu; masa (akhir-akhir ini),Sudah cukup umur
GEDUNG,benda,6,rumah tembok yang berukuran besar,Bangunan besar bertingkat
RAMBUT,benda,6,bulu yang tumbuh pada kulit manusia (terutama di kepala),Bulu tumbuh di kepala
HANCUR,aksi,6,rusak; binasa,Remuk tak berbentuk
LUBANG,benda,6,liang,Rongga menganga di permukaan
PELURU,benda,6,bola besi yang harus dilempar dengan tolakan tangan; bola peluru,Proyektil senjata api
PEDANG,benda,6,"parang panjang (banyak macamnya seperti -- bentuk, -- lurus, -- ekor pari)",Senjata tajam berbilah panjang
NEGERI,benda,6,nagari,Tanah air suatu bangsa
SEPATU,benda,6,sesuatu yang menyerupai sepatu,Alas pelindung kaki
LANGIT,benda,6,"ruang luas yang terbentang di atas bumi, tempat terlihatnya bulan, bintang, matahari, dan",Hamparan biru di atas
LOKASI,benda,6,letak,Letak suatu tempat
PEGANG,aksi,6,memegang,Menggenggam dengan tangan
SUNGAI,benda,6,aliran air yang besar (biasanya buatan alam); kali,Aliran air tawar panjang
KUCING,benda,6,sebutan bagi pasangan sejenis yang sering digunakan di kalangan waria,Hewan peliharaan pengejar tikus
PANTAI,benda,6,tepi laut; pesisir,Tepi laut berpasir
GUNUNG,benda,6,bukit yang sangat besar dan tinggi (biasanya tingginya lebih dari 600 m),Bukit sangat tinggi besar
TAMPAN,benda,6,roman muka; air muka,Berwajah rupawan gagah
JEPANG,benda,6,bahasa yang dituturkan di Jepang,Negeri matahari terbit sakura
KENCAN,benda,6,janji untuk saling bertemu di suatu tempat pada waktu yang telah ditentukan bersama (antar,Janji temu kekasih
GEREJA,benda,6,rumah atau bangunan tempat beribadah umat Kristen,Tempat ibadah umat Kristen
TUKANG,benda,6,ahli (untuk mencemoohkan),Ahli kerja bangunan
SERSAN,benda,6,"pangkat bintara dalam ketentaraan, di bawah perwira pertama dan di atas tamtama, mencakupi",Pangkat bintara tentara
JERMAN,benda,6,bahasa yang dituturkan oleh bangsa Jerman,Negeri asal bir Oktoberfest
BENTUK,benda,6,rupa; wujud,Rupa atau wujud benda
TARGET,benda,6,sasaran (batas ketentuan dan sebagainya) yang telah ditetapkan untuk dicapai,Sasaran yang dituju
TULANG,benda,6,duri ikan,Rangka keras tubuh
JALANG,aksi,6,pergi ke,Liar tidak terkendali
LETNAN,benda,6,"kelompok pangkat perwira pertama dalam ketentaraan yang mencakup letnan satu, letnan dua,",Pangkat perwira pertama
ISTANA,benda,6,"rumah kediaman resmi raja (kepala negara, presiden) dan keluarganya",Kediaman resmi raja
VAMPIR,benda,6,pemeras,Makhluk penghisap darah
PONSEL,benda,6,telepon seluler,Telepon genggam nirkabel
CELANA,benda,6,"pakaian luar yang menutup pinggang sampai mata kaki, kadang-kadang hanya sampai lutut, yan",Busana penutup tubuh bawah
ENERGI,benda,6,kemampuan untuk melakukan kerja (misalnya untuk energi listrik dan mekanika); daya (kekuat,Tenaga untuk bekerja
HORMAT,benda,6,"perbuatan yang menandakan rasa khidmat atau takzim (seperti menyembah, menunduk)",Sikap menghargai orang
SUMBER,benda,6,asal (dalam berbagai arti),Asal mula sesuatu
PASIEN,benda,6,orang sakit (yang dirawat dokter); penderita (sakit),Orang sakit dirawat dokter
SENTUH,aksi,6,menyentuh,Meraba dengan jari
CINCIN,benda,6,"perhiasan berupa lingkaran kecil yang dipakai di jari, ada yang berpermata, ada yang tidak",Perhiasan melingkar di jari
ANGGUR,benda,6,buah anggur,Buah kecil bergerombol manis
TANGGA,benda,6,"injak-injak (tumpuan naik ke mobil, kereta, dan sebagainya)",Injakan untuk naik turun
PERAHU,benda,6,"kendaraan air (biasanya tidak bergeladak) bermesin atau tidak bermesin, pada umumnya berbe",Kendaraan kecil di air
SINYAL,benda,6,tiang dan sebagainya yang menjadi (atau berisi) tanda isyarat,Tanda isyarat komunikasi
KERTAS,benda,6,"barang lembaran dibuat dari bubur rumput, jerami, kayu, dan sebagainya yang biasa ditulisi",Lembaran tipis untuk menulis
SIMPAN,aksi,6,menyimpan,Menaruh agar terjaga
KULIAH,aksi,6,ceramah,Belajar di perguruan tinggi
MASTER,benda,6,magister,Gelar pendidikan pascasarjana
RAKYAT,benda,6,anak buah; bawahan,Penduduk suatu negara
KADANG,benda,6,keluarga; sanak saudara (ada pertalian darah),Sesekali tidak selalu
LAMBAT,benda,6,memerlukan waktu banyak,Pelan butuh banyak waktu
TAKDIR,benda,6,ketetapan Tuhan; ketentuan Tuhan; nasib,Ketentuan Tuhan atas nasib
KONTAK,benda,6,sambungan arus listrik,Sambungan atau hubungan langsung
PROYEK,benda,6,"rencana pekerjaan dengan sasaran khusus (pengairan, pembangkit tenaga listrik, dan sebagai",Rencana pekerjaan bersasaran khusus
MALANG,benda,6,kota di Provinsi Jawa Timur,Ditimpa nasib sial
