answer,length,clue
KOPIAH,6,
KOPONG,6,
KOPRAK,6,
KOPRAL,6,Pangkat rendah tentara
KOPROK,6,
KOPROL,6,
KOPULA,6,
KOPYOK,6,
KOPYOR,6,
KORANO,6,
KORBAN,6,Penderita akibat musibah
KORDEN,6,
KORDIT,6,
KORDON,6,
KOREKE,6,
KORENG,6,
KORION,6,
KORNEA,6,Selaput bening bola mata
KORNEL,6,
KORNER,6,
KORNET,6,Daging giling kalengan
KOROID,6,
KORONA,6,
KORONG,6,
KOROSI,6,
KORPUS,6,
KORSEL,6,
KORSET,6,Pembentuk perut agar ramping
KORVET,6,
KOSBAS,6,
KOSMIS,6,
KOSMOS,6,Alam semesta yang luas
KOSONG,6,
KOSTUM,6,Baju khusus pertunjukan
KOTBAH,6,
KOTEKA,6,
KOTEKS,6,
KOTENG,6,
KOTIPA,6,
KOTONG,6,
KOTREK,6,
KRAKAL,6,
KRASIS,6,
KRAYON,6,Pensil warna lilin
KREASI,6,Hasil karya cipta manusia
KRECEK,6,
KREDIT,6,Cicilan pembayaran utang
KRESOL,6,
KRETIN,6,
KRICAK,6,
KRIKET,6,Olahraga mirip bisbol Inggris
KRIPTA,6,
KRISAN,6,Bunga hias berkelopak rapat
KRISIS,6,
KRISMA,6,
KRISTA,6,Bagian tepi sesuatu
KRITIK,6,Tanggapan berisi kecaman
KRITIS,6,
KROKET,6,Gorengan kentang isi daging
KROMAT,6,
KROMIT,6,
KRONEM,6,
KRONIK,6,
KRONIS,6,
KRUKAT,6,
KUALAT,6,
KUALON,6,
KUARAN,6,
KUARIK,6,
KUARSA,6,Mineral bening penyusun pasir
KUARTO,6,
KUARZA,6,
KUASAR,6,
KUATIR,6,
KUAYAH,6,
KUAYAN,6,
KUBANG,6,
KUBOID,6,
KUBUNG,6,
KUCICA,6,
KUCING,6,Hewan peliharaan pengejar tikus
KUCUNG,6,
KUDANG,6,
KUDETA,6,Perebutan kekuasaan dengan paksa
KUDIAN,6,
KUDIDI,6,
KUDUNG,6,
KUJANG,6,
KUJUNG,6,
KUKANG,6,
KUKILA,6,
KULARI,6,
KULIAH,6,Belajar di perguruan tinggi
KULIAN,6,
KULKAS,6,Lemari pendingin makanan
KULTUR,6,Peradaban dan kebiasaan masyarakat
KULTUS,6,Pemujaan berlebihan pada seseorang
KULZUM,6,
KUMALA,6,
KUMBAH,6,
KUMBAR,6,
KUMBIK,6,
KUMBUH,6,
KUMENA,6,
KUMICO,6,
KUMPAI,6,
KUMPAL,6,
KUMPAR,6,
KUMPUL,6,Berhimpun menjadi satu
KUNANI,6,
KUNCAH,6,
KUNCEN,6,
KUNCIR,6,
KUNCIT,6,
KUNCUP,6,Bunga belum mekar
KUNDAI,6,
KUNDUR,6,
KUNGFU,6,Bela diri asal Tiongkok
KUNGKI,6,
KUNING,6,Warna emas cerah
KUNTAU,6,
KUNTIT,6,
KUNTUL,6,
KUNTUM,6,Bunga yang belum mekar
KUNYAH,6,Melumat makanan dengan gigi
KUNYAM,6,
KUNYIT,6,Rempah rimpang kuning
KUNYUK,6,Monyet kecil nan lincah
KUORUM,6,
KUOTUM,6,
KUPANG,6,
KUPING,6,Organ pendengaran manusia
KUPLET,6,
KUPLUK,6,
KUPNAT,6,
KUPRUM,6,
KURANG,6,
KURBAN,6,Persembahan kepada Tuhan
KURING,6,
KURIUM,6,
KURSIF,6,
KURSOR,6,
KURSUS,6,Belajar singkat berbayar
KURUNG,6,Tanda pengapit dalam kalimat
KUSKUS,6,
KUSPIS,6,
KUSRUK,6,
KUSUMA,6,
KUTAHA,6,
KUTANG,6,Penutup dada wanita
KUTBAH,6,
KUTEKS,6,
KUTERI,6,
KUTIKA,6,
KUTING,6,
KUTUNG,6,
KUYANG,6,
LABANG,6,
LABIAL,6,
LABIUM,6,
LABRAK,6,
LABRES,6,
LABRUM,6,
LABUDA,6,
LADANG,6,Lahan pertanian kering
LADING,6,
LADUNG,6,
LAGANG,6,
LAGIAH,6,
LAGIAN,6,
LAGUAN,6,
LAGUNA,6,Danau air asin pantai
LAHANG,6,
LAILAH,6,
LAILAT,6,
LAJANG,6,
LAJNAH,6,
LAKARA,6,
LAKBAN,6,Pita perekat lebar
LAKERI,6,
LAKLAK,6,
LAKMUS,6,
LAKNAT,6,Kutukan atas kejahatan
LAKSMI,6,
LAKTAT,6,
LAKTON,6,
LAKUAN,6,
LAKUNA,6,
LALANG,6,Rumput liar tinggi
LALUAN,6,
LAMANG,6,
LAMBAI,6,
LAMBAK,6,
LAMBAN,6,Gerak tak secepat biasa
LAMBAR,6,
LAMBAT,6,Pelan butuh banyak waktu
