answer,length,clue
SINDETON,8,
SINDIKAT,8,Kelompok kejahatan terorganisasi
SINDIRAN,8,
SINERGIS,8,
SINESKOP,8,
SINETRON,8,Drama serial televisi
SINGAHAK,8,
SINGELAR,8,
SINGGANG,8,
SINGGUNG,8,Menyentuh perasaan seseorang
SINGKANG,8,
SINGKONG,8,
SINGSING,8,
SINGULUM,8,
SINGUNEN,8,
SINOLOGI,8,
SINONIMI,8,
SINOPSIS,8,Ringkasan singkat sebuah cerita
SINOPTIS,8,
SINTAGMA,8,
SINTESIS,8,Penggabungan menjadi kesatuan
SINTETIK,8,
SINTETIS,8,
SINTONIK,8,
SINUSOID,8,
SINYALIR,8,
SIPATUNG,8,
SIRIASIS,8,
SIRKULER,8,
SISTEMIS,8,
SISTERNA,8,
SISTITIS,8,
SISTOLIK,8,
SITOLOGI,8,
SKANDIUM,8,
SKEMATIS,8,
SKENARIO,8,Naskah jalan cerita film
SKIATIKA,8,
SKUADRON,8,Kesatuan pesawat tempur militer
SLAGORDE,8,
SLOVENIA,8,
SNOBISME,8,
SOFISTRI,8,
SOKONGAN,8,
SOLANINA,8,
SOMBRERO,8,Topi lebar khas Meksiko
SONATINA,8,
SONDANCO,8,
SONGGENG,8,
SONGSONG,8,
SONOGRAM,8,Citra hasil ultrasonik
SONTEKAN,8,
SORANGAN,8,
SORONGAN,8,
SORTIRAN,8,
SOSIALIS,8,Penganut kepemilikan bersama
SOSIAWAN,8,
SOSIOLEK,8,
SOSIOLOG,8,
SOSIOPAT,8,Orang tanpa empati sosial
SPEKTRUM,8,Rangkaian warna cahaya
SPEKULAN,8,
SPESIFIK,8,
SPESIMEN,8,Contoh untuk pengujian
SPIONASE,8,Kegiatan mata-mata rahasia
SPIRILUM,8,
SPIRITIS,8,
SPIRITUS,8,Cairan alkohol mudah terbakar
SPORADIS,8,
SPOROFIL,8,
SPRINTER,8,
SRIKANDI,8,
STAGNASI,8,
STANPLAT,8,
STARLING,8,Penjaja kopi bersepeda
STATUTER,8,
STEGODON,8,
STEVADOR,8,
STIGMATA,8,Tanda khusus pada tubuh
STIMULAN,8,Perangsang penambah semangat
STIMULUS,8,Rangsangan pemicu reaksi
STRATEGI,8,Rencana memenangkan perang
STRIPTIS,8,Tarian buka pakaian
STROBERI,8,Buah merah kecil berbiji
STROBILA,8,
STRUKTUR,8,Susunan bagian teratur
SUAMINDA,8,
SUBENTRI,8,
SUBETNIK,8,
SUBFILUM,8,
SUBGENUS,8,
SUBKELAS,8,
SUBLETAL,8,
SUBLIMAT,8,
SUBSIDER,8,
SUBSKRIP,8,
SUBSONIK,8,
SUBSTRAT,8,
