answer,length,clue
ITEM,4,
ITIK,4,Sejenis bebek peliharaan
ITIL,4,
IWAD,4,
IZAH,4,
IZIN,4,Persetujuan boleh melakukan sesuatu
JAAT,4,
JADI,4,
JAGA,4,Mengawasi supaya aman
JAGO,4,Juara tak terkalahkan
JAHA,4,Sejenis buah hutan
JAHE,4,Rempah penghangat tubuh
JAIL,4,
JAIS,4,
JAIZ,4,
JAJA,4,
JAKA,4,
JALA,4,Alat penangkap ikan
JALI,4,
JALU,4,
JAMU,4,Orang yang datang bertandang
JANI,4,
JAPU,4,
JARA,4,
JARI,4,Hanya ada 20
JARO,4,
JARU,4,
JASA,4,Layanan bermanfaat bagi orang
JATI,4,Kayu keras berkualitas
JAUH,4,
JAVA,4,
JAWA,4,
JAWI,4,
JAYA,4,Gemilang dan makmur
JEDA,4,Waktu istirahat sejenak
JELA,4,
JELI,4,Penganan kenyal elastis
JELU,4,
JEMU,4,
JENG,4,Sapaan perempuan Jawa
JENU,4,
JEPA,4,
JERA,4,
JERI,4,
JERO,4,
JIKA,4,
JILA,4,
JINA,4,
JITU,4,
JIWA,4,Roh dalam tubuh
JOAK,4,
JOGI,4,
JOKI,4,Penunggang kuda balap
JOLI,4,
JONG,4,Perahu layar tradisional
JORI,4,
JOTA,4,
JUAK,4,
JUAL,4,Tukar barang uang
JUAR,4,
JUDI,4,Taruhan uang berisiko
JUDO,4,Bela diri Jepang
JUEK,4,
JUGA,4,
JUGI,4,
JUHI,4,
JUIH,4,
JUJA,4,
JUJU,4,
JULI,4,Bulan ketujuh tahun Masehi
JULO,4,
JUNG,4,Kapal layar kuno
JUNI,4,Bulan pertengahan tahun
JURA,4,Zaman kedua era Mesozoikum
JURI,4,Penilai lomba kompetisi
JURU,4,Orang ahli suatu pekerjaan
JUTA,4,Bilangan dengan enam nol
JUTE,4,
KABA,4,
KACA,4,Benda tembus pandang
KACI,4,
KACO,4,
KACU,4,
KADA,4,
KADE,4,
KADI,4,
KADO,4,Bingkisan pemberian ulang tahun
KAFE,4,Tempat nongkrong ngopi
