answer,length,clue
CEKAU,5,
CEKEK,5,
CEKEL,5,
CEKER,5,Kaki bercakar ayam
CEKIH,5,
CEKIK,5,Tekan erat leher
CEKIT,5,
CEKOK,5,
CEKUH,5,
CEKUK,5,
CEKUP,5,
CEKUR,5,
CEKUT,5,
CELAH,5,Ruang sempit di antara
CELAK,5,Pancaran terang benderang
CELAR,5,
CELAS,5,
CELAT,5,
CELEK,5,
CELEP,5,
CELIH,5,
CELIK,5,
CELIS,5,
CELOK,5,
CELOS,5,
CELUK,5,
CELUM,5,
CELUP,5,Rendam ke pewarna
CELUR,5,
CELUS,5,
CEMAR,5,
CEMAS,5,
CEMAT,5,
CEMEH,5,
CEMEK,5,
CEMER,5,
CEMPA,5,
CEMPE,5,
CEMUK,5,
CENAK,5,
CENGI,5,
CEPAK,5,Bunyi mulut mengunyah
CEPAL,5,
CEPAT,5,
CEPEK,5,
CEPER,5,
CEPIT,5,
CEPOL,5,
CEPUK,5,
CERAH,5,Langit tanpa awan
CERAI,5,Putus ikatan pernikahan
CERAK,5,
CERAP,5,
CERAT,5,
CERAU,5,
CERCA,5,
CEREK,5,
CERET,5,
CERIA,5,Riang penuh gembira
CERIH,5,
CERNA,5,
CERPU,5,
CERUH,5,
CERUK,5,Cekungan menyerupai gua
CERUN,5,
CERUP,5,
CERUT,5,
CETAI,5,
CETAK,5,Membuat salinan di kertas
CETAR,5,
CETEK,5,
CETER,5,
CETOK,5,
CETUS,5,
CEUKI,5,
CEWEK,5,Sebutan gadis gaul
CHILI,5,
CHINA,5,Negeri Tembok Besar
CIBIR,5,
CIBIT,5,
CIBUK,5,
CICAH,5,
CICAK,5,
CICIH,5,
CICIK,5,
CICIL,5,
CICIP,5,Mencoba rasa masakan
CICIR,5,
CICIT,5,Suara nyaring tikus kecil
CIDUK,5,
CIGAK,5,
CIHUI,5,
CIKAL,5,
CIKAR,5,
CIKGU,5,Sapaan untuk guru
CIKOK,5,
CIKUN,5,
CIKUT,5,
CILAP,5,
CILIK,5,
CILOK,5,
CINCU,5,
CINDA,5,
CINDE,5,
CINTA,5,
CIPAI,5,
CIPAN,5,
CIPOA,5,
CIPOK,5,
CIPTA,5,Daya menghasilkan hal baru
CIRIT,5,
CITAK,5,
CITRA,5,Reputasi di mata orang
COANG,5,
COBAN,5,
COBEK,5,
COCOK,5,Serasi tanpa cela
COCOL,5,
COCOR,5,
CODAK,5,
CODET,5,Bekas luka wajah
CODOT,5,
COGAH,5,
COGAN,5,
COGOK,5,
COKAR,5,
COKEK,5,
COKER,5,Kalung ketat di leher
COKET,5,
COKOK,5,
COKOL,5,
COLAK,5,
COLEK,5,
COLET,5,
COLOK,5,Celup ke dalam kuah
COLOT,5,
COMEK,5,
COMEL,5,Suka menggerutu terus
COMOR,5,
COMOT,5,
COMRO,5,
CONET,5,
CONGO,5,Pencuri kelas teri
COPAR,5,
COPET,5,Pencuri di keramaian
COPOL,5,
COPOT,5,Lepas dari tempatnya
CORAK,5,Motif pada kain
CORAN,5,
COREK,5,
CORET,5,Garis asal-asalan pena
COROB,5,
COROT,5,
COTET,5,
COTOK,5,
COWOK,5,Sebutan gaul pria
CUACA,5,Ramalan hujan panas
CUANG,5,
CUBAN,5,
CUBIT,5,Jepit dengan jari
CUCUH,5,
CUCUK,5,
CUCUN,5,
CUCUP,5,
CUCUR,5,
CUCUT,5,
CUGAT,5,
CUKAI,5,Bea barang impor
CUKAM,5,
CUKIL,5,
CUKIN,5,
CUKIR,5,
CUKIT,5,
CUKUP,5,
CUKUR,5,Pangkas rambut kepala
CULAK,5,
CULAN,5,
CULAS,5,
CULIK,5,Membawa paksa seseorang
CULIM,5,
CULUN,5,
CUMAN,5,
CUMBU,5,Rayuan mesra kekasih
CUMIL,5,
CUNAM,5,
CUNDA,5,
CUNGO,5,
CUNIA,5,
CUPAI,5,
CUPAK,5,
CUPAR,5,
CUPET,5,
CUPIT,5,
