answer,length,clue
ABAIAN,6,
ABAKUS,6,
ABARAN,6,
ABIDIN,6,
ABILAH,6,
ABISAL,6,
ABLASI,6,
ABLAUT,6,
ABORSI,6,Pengguguran janin dalam kandungan
ABRASI,6,
ABSORB,6,
ABSURD,6,
ABUHAN,6,
ABULIA,6,
ACARAM,6,
ACUHAN,6,
ACUMAN,6,
ADAGIO,6,
ADAKAN,6,
ADALAH,6,
ADALAT,6,
ADANYA,6,
ADAPUN,6,
ADEGAN,6,Bagian babak film
ADENDA,6,
ADHESI,6,
ADIKSI,6,
ADINDA,6,
ADITIF,6,Zat tambahan makanan
ADMISI,6,
ADONAN,6,
ADOPSI,6,Mengangkat anak orang lain
ADUHAI,6,
ADUKAN,6,
ADUKSI,6,
ADUNAN,6,
AEOLUS,6,
AERASI,6,
AFASIA,6,
AFDRUK,6,
AFEKSI,6,
AFONIA,6,
AFOTIK,6,
AFRIKA,6,Benua sabana singa gajah
AGAMEN,6,
AGAMET,6,
AGAMIS,6,
AGENDA,6,Daftar acara rapat
AGENSI,6,Kantor perantara jasa
AGIRIA,6,
AGONIA,6,
AGONIS,6,
AGRESI,6,Serangan ke negara lain
AGUNAN,6,
AHIMSA,6,
AIKIDO,6,Bela diri kuncian Jepang
AJAKAN,6,Seruan untuk bergabung
AJARAN,6,
AJNABI,6,
AJUDAN,6,Perwira pendamping pejabat tinggi
AJUFAN,6,
AJUJAH,6,
AKANAN,6,
AKASIA,6,
AKEKAH,6,
AKHBAR,6,
AKHLAK,6,
AKHLAS,6,
AKHTAJ,6,
AKHWAN,6,
AKHWAT,6,
AKIBAT,6,Hasil dari sebab
AKIDAH,6,
AKIKAH,6,
AKLIAH,6,
AKSARA,6,
AKSILA,6,
AKTING,6,Seni memerankan tokoh
AKTIVA,6,
AKTRIS,6,Pemeran perempuan dalam film
AKTUAL,6,
AKURAT,6,
ALABIO,6,
ALAHAN,6,
ALALIA,6,
ALAMAH,6,
ALAMAK,6,
ALAMAS,6,
ALAMAT,6,Petunjuk rumah
ALAMIN,6,
ALASAN,6,
ALAWAR,6,
ALAZON,6,
ALBEDO,6,
ALBINO,6,Terlahir tanpa pigmen kulit
ALEGRO,6,
ALERGI,6,Reaksi tubuh terhadap pemicu
ALGOID,6,
ALGOJO,6,Pelaksana hukuman mati
ALIASE,6,
ALIMEN,6,
ALIMUN,6,
ALINEA,6,
ALIRAN,6,
ALIYAH,6,
ALKALI,6,Zat basa dari logam
ALKANA,6,
ALKARI,6,
ALKENA,6,
ALKUNA,6,
ALMARI,6,
ALOBAR,6,
ALOFON,6,
ALONIM,6,
ALPAKA,6,
ALUMNI,6,Lulusan suatu sekolah
ALUNAN,6,
ALURAN,6,
ALWASI,6,
AMALAN,6,
AMANAH,6,Pesan yang dipercayakan
AMANAT,6,Pesan yang dititipkan
AMARAH,6,Emosi memuncak panas
AMARAN,6,
AMATAN,6,
AMATIR,6,Pemula belum mahir
AMATOL,6,
AMBANG,6,Batas pintu masuk
AMBIGU,6,
AMBING,6,
AMBISI,6,Hasrat meraih sukses
AMBLAS,6,
AMBLEK,6,
AMBLES,6,
AMBRIL,6,
AMBROL,6,
AMBRUK,6,Runtuh roboh ke bawah
AMBUNG,6,
AMBYAR,6,
AMERTA,6,
AMETIS,6,
AMFIBI,6,Hidup di dua alam
AMIKAL,6,
AMNION,6,
AMONIA,6,Gas berbau sangat menyengat
AMONIT,6,
AMORAL,6,
AMPANG,6,
AMPEAN,6,
AMPELA,6,
AMPERE,6,Ukuran kuat arus listrik
AMPIBI,6,
AMPLOP,6,Uang sogokan tersembunyi
AMPROK,6,
AMPULA,6,
AMPUNG,6,
AMPUNI,6,
AMUKAN,6,
AMULET,6,Jimat pelindung diri
ANAKAN,6,
ANAKDA,6,
ANALIS,6,Ahli menelaah suatu masalah
ANALOG,6,Bukan sistem digital
ANAMEL,6,
ANANDA,6,Sapaan halus untuk anak
ANAPES,6,
ANARKI,6,Kekacauan tanpa pemerintahan
ANASIR,6,
ANCALA,6,
ANCANG,6,
ANCING,6,
ANDAKA,6,
ANDANG,6,
ANDEWI,6,
ANDIKA,6,
ANDIKO,6,
ANDONG,6,
ANDUNG,6,
ANEMER,6,
ANEMIA,6,Penyakit kurang darah merah
ANERGI,6,
ANGGAI,6,
ANGGAK,6,
ANGGAL,6,
ANGGAN,6,
ANGGAP,6,
ANGGAR,6,Olahraga adu pedang
ANGGAU,6,
ANGGIT,6,
ANGGUH,6,
ANGGUK,6,
ANGGUL,6,
ANGGUN,6,
ANGGUR,6,Buah kecil bergerombol manis
ANGGUT,6,
ANGHUN,6,
ANGINA,6,
ANGKAK,6,
ANGKAR,6,
ANGKAT,6,Menaikkan beban ke atas
ANGKEL,6,
ANGKER,6,Terkesan seram dan menakutkan
ANGKET,6,
ANGKIN,6,
ANGKIT,6,
ANGKUH,6,Sombong dan tinggi hati
ANGKUK,6,
ANGKUP,6,
ANGKUR,6,
ANGKUS,6,
ANGKUT,6,Membawa dan memindahkan barang
ANGLAP,6,
ANGLER,6,
ANGPAU,6,
ANGSUR,6,
ANIAYA,6,Perlakuan kejam dan bengis
ANIMIS,6,
ANJALI,6,Sembah kedua telapak tangan
ANJANG,6,
ANJING,6,Hewan setia penjaga rumah
ANJLOK,6,Keluar dari rel
ANJUNG,6,
ANODIN,6,
ANONIM,6,
ANORAK,6,
ANSARI,6,Kaum penolong Nabi Muhammad
ANSORI,6,
ANTARA,6,
ANTARI,6,
ANTENA,6,Kawat penangkap sinyal siaran
ANTENG,6,
ANTERA,6,
ANTERO,6,
ANTING,6,Perhiasan tergantung di telinga
ANULIR,6,
ANULUS,6,
ANURIA,6,
ANUTAN,6,
ANYANG,6,Sayur berbumbu parutan kelapa
APAKAH,6,
APARAT,6,Petugas penegak aturan
APATAH,6,
APATIS,6,
APEPSI,6,
APIKAL,6,
APILAN,6,
APITAN,6,
APLASI,6,
APLAUS,6,
APODAL,6,
APOTEK,6,Tempat menebus resep obat
APOTIK,6,
APSARA,6,
APTASI,6,
APURAN,6,
AQIDAH,6,
ARABES,6,
ARAHAN,6,
ARAKAN,6,
ARAMBA,6,
ARARUT,6,
AREOLA,6,
ARERUT,6,
ARGARI,6,
ARIFIN,6,
ARISAN,6,
ARKADE,6,
ARKAIS,6,
ARKATI,6,
ARKIAN,6,
ARKTIK,6,Wilayah kutub utara beku
ARLOJI,6,Jam kecil pergelangan tangan
ARMADA,6,Rombongan kapal atau kendaraan
AROGAN,6,
ARONAN,6,
ARTERI,6,Pembuluh darah utama
ARTIAN,6,
ARTONA,6,
ARUMBA,6,
ARWANA,6,
ASABAT,6,
ASAHAN,6,
ASAMAN,6,
ASERAN,6,
ASETAT,6,
ASETON,6,
ASIMUS,6,
ASINAN,6,
ASKESE,6,
ASMARA,6,Rasa cinta antar kekasih
ASPRAK,6,
ASRAMA,6,Tempat tinggal bersama siswa
ASTAGA,6,
ASTAKA,6,
ASTANA,6,
ASTRAL,6,
ASUHAN,6,
ASUMSI,6,Dugaan tanpa bukti
ASYERA,6,
ASYURA,6,
ATASAN,6,
ATELIR,6,
ATENSI,6,
ATERET,6,
ATRISI,6,
ATRIUM,6,Serambi bilik jantung
ATROFI,6,
ATSIRI,6,
ATURAN,6,
AUBADE,6,
AUDISI,6,Uji seleksi calon penampil
AUKSIN,6,
AURORA,6,Cahaya warna-warni kutub
AVATAR,6,Wujud digital diri kita
AVERSI,6,
AVESTA,6,
AVIARI,6,
AVIASI,6,
AVOKAD,6,
AWAAIR,6,
AWABAU,6,
AWALAN,6,
AWASAN,6,
AWURAN,6,
AYAKAN,6,
AYANDA,6,
AYAPAN,6,
AYUMAN,6,
AYUNAN,6,
AYUNDA,6,
AZAMAT,6,
AZEMAT,6,
AZIMAT,6,
AZIMUT,6,
AZURIT,6,
BABANG,6,
BABLAS,6,
BACAAN,6,
BACANG,6,
BADANG,6,
BADANI,6,
BADARI,6,
BADASI,6,
BADONG,6,
BADUNG,6,Perangai suka nakal
BAGANG,6,
BAGASI,6,Tempat barang di kendaraan
BAGIAN,6,
BAGONG,6,
BAHAGI,6,
BAHALA,6,
BAHANA,6,
BAHANG,6,
BAHARA,6,
BAHARI,6,Berkaitan dengan kelautan
BAHARU,6,
BAHASA,6,Alat komunikasi lisan
BAHAYA,6,Keadaan mengancam keselamatan
BAHKAN,6,
BAHUKU,6,Pungutan atas hasil tanah
BAINAH,6,
BAJANG,6,
BAJING,6,Binatang pengerat mirip tupai
BAKDUL,6,
BAKERO,6,
BAKHIL,6,
BAKIAK,6,
BAKPAO,6,Roti kukus isi daging
BAKPIA,6,
BAKSIS,6,
BAKTAU,6,
BAKUNG,6,Tanaman hias bunga terompet
BAKWAN,6,
BALADA,6,Puisi kisah mengharukan
BALANG,6,
BALANS,6,
BALELA,6,
BALGAM,6,
BALIAN,6,Upacara penyembuhan adat Dayak
BALIHO,6,
BALING,6,Alat pelempar batu
BALITA,6,Anak kecil belum sekolah
BALKAS,6,
BALKON,6,Serambi lantai atas
BALONG,6,
