answer,length,clue
HENDAM,6,
HENDEL,6,
HENGIT,6,
HENING,6,
HENTAI,6,Kartun Jepang porno
HENTAR,6,
HERDER,6,
HERESI,6,
HERING,6,
HERNIA,6,Usus turun ke bawah
HEROIK,6,
HEROIN,6,Narkotika bubuk putih terlarang
HERPES,6,Penyakit kulit melepuh
HETERO,6,
HEWANI,6,
HIALIN,6,
HIALIT,6,
HIASAN,6,
HIATUS,6,
HIDANG,6,
HIDRAN,6,Keran pemadam kebakaran
HIDRAT,6,
HIDUNG,6,Alat penciuman wajah
HIJRAH,6,
HIKMAH,6,Pelajaran dari suatu kejadian
HIKMAT,6,Kearifan penuh makna
HILANG,6,Lenyap tidak berbekas
HIMBAU,6,
HIMPUN,6,
HINAAN,6,
HINDAR,6,
HINDIA,6,Samudra di barat Sumatra
HINGAR,6,
HINGGA,6,
HIOSIN,6,
HISTON,6,
HITUNG,6,Jumlahkan angka bersama
HOMILI,6,
HONCOE,6,
HOPYES,6,
HORMAT,6,Sikap menghargai orang
HORMON,6,Zat pengatur tubuh alami
HOSKUT,6,
HOSTEL,6,Penginapan murah pelajar
HOSTES,6,
HUBUNG,6,Menyatukan dua ujung
HUDHUD,6,
HUJUNG,6,Bagian paling akhir
HUKAMA,6,
HUNCUE,6,
HUNIAN,6,
HUNJAM,6,
HUNJIN,6,
HUNJUK,6,
HUNKUE,6,
HURIAH,6,
HUTANG,6,
HUYUNG,6,
IAMBUS,6,
IBADAH,6,Bakti kepada Tuhan
IBADAT,6,
IBARAT,6,
IBAYUH,6,
IBIDEM,6,
IBTIDA,6,
IBUNDA,6,Sebutan hormat ibu
IDAMAN,6,
IDAPAN,6,
IDARAH,6,
IDIOSI,6,
IGAUAN,6,
IGUANA,6,Kadal besar pemakan tumbuhan
IHTIAR,6,
IJABAT,6,
IJAJIL,6,
IJARAH,6,
IJAZAH,6,Surat tanda lulus sekolah
IJEMAN,6,
IKALAN,6,
IKAMAH,6,
IKANAN,6,
IKATAN,6,
IKHBAR,6,
IKHLAS,6,
IKHWAN,6,
IKONIS,6,
IKUTAN,6,
ILANUN,6,
ILEGAL,6,
ILMIAH,6,
ILUSIF,6,
IMAMAH,6,
IMANEN,6,
IMBANG,6,
IMPASE,6,
IMPIAN,6,
IMPLAN,6,Bahan buatan ditanam tubuh
IMPULS,6,Dorongan sesaat suatu gaya
INAYAT,6,
INCRIT,6,
INDANG,6,
INDEKS,6,Daftar penunjuk isi buku
INDERA,6,
INDIGO,6,Warna biru nila
INDING,6,
INDIUM,6,
INDRIA,6,
INDUNG,6,Sebutan lain ibu
INFIKS,6,
INGKAH,6,
INGKAR,6,Menyangkal atau mungkir
INGKIR,6,
INGSAR,6,
INGSUT,6,
INKASO,6,
INSANG,6,Alat pernapasan ikan
INSANI,6,
INSLAN,6,
INSTAN,6,
INTENS,6,
INTERN,6,
INTIHA,6,
INTIMA,6,
INTRIK,6,Muslihat menjatuhkan lawan
INVASI,6,Serbuan pasukan asing
INVOIS,6,
INZIAJ,6,
IPUKAN,6,
IQAMAT,6,
IRADAT,6,
IRAFAH,6,
IRASAN,6,
IRISAN,6,
IRONIS,6,
IRSYAD,6,
ISAPAN,6,
ISLAMI,6,
ISOBAR,6,
ISOBAT,6,
ISODIN,6,
ISOFEN,6,
ISOFET,6,
ISOFON,6,
ISOGON,6,
ISOHEL,6,
ISOKAL,6,
ISOKOR,6,
ISOLIR,6,
ISOMER,6,
ISOPAL,6,
ISOTAH,6,
ISOTOP,6,Atom beda jumlah neutron
ISTANA,6,Kediaman resmi raja
ISTIMA,6,
ISTIWA,6,
ITALIA,6,Negeri pizza dan pasta
ITALIK,6,
ITARAD,6,
ITARAF,6,
ITIBAK,6,
ITIBAR,6,
ITIDAL,6,
ITIFAK,6,
ITIHAD,6,
ITIKAD,6,
ITIKAF,6,
ITISAL,6,
ITRIUM,6,
ITULAH,6,
JABANG,6,
JABLES,6,
JABRIK,6,
JABUNG,6,
JADWAL,6,Daftar waktu kegiatan
JAGANG,6,
JAGOAN,6,
JAGRAK,6,
JAGUAR,6,Kucing besar tutul Amerika
JAGUNG,6,Bulir kuning pada tongkol
JAHARU,6,
JALANG,6,Liar tidak terkendali
JAMAAH,6,
JAMANG,6,
JAMBAK,6,
JAMBAL,6,
JAMBAN,6,Tempat buang air besar
JAMBAR,6,
JAMBAT,6,
JAMBON,6,
JAMBUL,6,Berkas rambut mencuat
JAMBUR,6,
JAMHUR,6,
JAMIAH,6,
JAMPAL,6,
JAMPEN,6,
JAMPUK,6,
JAMRAH,6,
JAMRUD,6,
JAMUAN,6,
JAMUNG,6,
JANGAK,6,
JANGAN,6,
JANGAR,6,
JANGAT,6,
JANGGI,6,
JANGKA,6,Rentang waktu tertentu
JANGKI,6,
JANGLA,6,
JANGOL,6,
JANNAH,6,
JANTAN,6,Gagah dan pemberani
JANTUK,6,
JANTUR,6,
JANUBI,6,
JARANG,6,
JARGON,6,
JARIAH,6,
JARIAT,6,
JARIJI,6,
JARING,6,Perangkap bagi mangsa
JARJAU,6,
JASADI,6,
JASPER,6,Batu permata buram berwarna
JATAYU,6,
JAUHAR,6,
JAWANG,6,
JAWARA,6,Ahli bela diri tangguh
JAYENG,6,
JEBANG,6,
JEBLOK,6,
JEBLOS,6,
JEBLUK,6,
JEBROL,6,
JEBUNG,6,
JEDING,6,
JEGANG,6,
JEGUNG,6,
JEJAKA,6,
JEJAMU,6,
JEJAWI,6,
JEJURI,6,
JELAGA,6,Arang halus dari asap
JELANG,6,
JELATA,6,
JELING,6,
JELITA,6,
JELUAK,6,
JEMAAH,6,Kumpulan orang beribadah
JEMAAT,6,Kumpulan umat gereja
JEMALA,6,
JEMANG,6,
JEMARI,6,
JEMAWA,6,
JEMBAK,6,
JEMBAR,6,
JEMBEL,6,
JEMBER,6,
JEMBUT,6,
JEMEKI,6,
JEMPOL,6,Jari tanda acungan bagus
JEMPUL,6,
JEMPUT,6,Mengambil dan membawa pulang
JEMUAN,6,
JEMUAS,6,
JEMUJU,6,
JENAKA,6,
JENAMA,6,
JENANG,6,
JENAWI,6,
JENDAL,6,
JENDEL,6,
JENDOL,6,
JENDUL,6,
JENELA,6,
JENENG,6,
JENGAH,6,
JENGAT,6,
JENGEK,6,
JENGIT,6,
JENGKI,6,
JENGUH,6,
JENGUK,6,Menengok orang sakit
JENGUL,6,
JENIUS,6,
JENJAM,6,
JENTIK,6,
JENTUR,6,
JEPANG,6,Negeri matahari terbit sakura
JEPRAT,6,
JEPRET,6,
JERAIT,6,
JERAMI,6,Sisa batang padi kering
JERANG,6,
JERAUS,6,
JERBAK,6,
JERENG,6,
JERIAU,6,
JERIJI,6,
JERING,6,
JERJAK,6,
JERKAH,6,
JERKAT,6,
JERMAL,6,
JERMAN,6,Negeri asal bir Oktoberfest
JERNIH,6,
JEROAN,6,Isi perut hewan sembelihan
JERPAK,6,
JERUJI,6,Batang besi pada penjara
JERUJU,6,
JERUNG,6,
JETSAM,6,
JETSET,6,
JIARAH,6,
JIBAKU,6,
JIBRIL,6,
JICING,6,
JIGONG,6,
JIGRAH,6,
JILBAB,6,Penutup kepala muslimah
JIMBIT,6,
JIMPIT,6,
JINAWI,6,
JINDRA,6,
JINENG,6,
JINGAP,6,
JINGAU,6,
JINGGA,6,
JINJIT,6,
JINSOM,6,
JINTAN,6,
JIPANG,6,
JIPLAK,6,
JIRIAN,6,
JIZYAH,6,
JLEGUR,6,
JOBONG,6,
JODANG,6,
JODONG,6,
JOGING,6,Lari pelan untuk kesehatan
JOHARI,6,
JOJING,6,
JOKONG,6,
JOLONG,6,
JOMPAK,6,
JONGET,6,
JONGGA,6,
JONGKI,6,
JONGKO,6,
JONGOS,6,
JONJOT,6,
JONSON,6,Sampan bermotor tempel
JONTOH,6,
JONTOR,6,
JORENG,6,
JORONG,6,
JOTANG,6,
JUADAH,6,
JUALAN,6,
JUBLAG,6,
JUBLEK,6,
JUBUNG,6,
JUDOGI,6,
JUDOKA,6,
JUKUNG,6,
JULANG,6,
JULIEN,6,Irisan tipis memanjang sayur
JULING,6,
JULUNG,6,
